season,team_id,game_pk,n_bip,dpi_speed
2015,TOR,413913,23,-2.904
2015,PIT,413894,26,1.99
2015,STL,413884,25,1.112
2015,TEX,413857,28,0.631
2015,LAA,413854,22,1.354
2015,NYY,413829,24,-1.84
2015,SD,413802,23,-0.17
2015,LAD,413796,18,-0.541
2015,TB,413788,18,0.896
2015,HOU,413778,22,-2.447
2015,WSH,413767,31,-3.612
2015,WSH,413710,23,0.0
2015,TEX,413694,25,2.037
2015,AZ,413669,28,-0.106
2015,SD,413659,23,-2.951
2015,CLE,413654,19,0.0
2015,CHC,413953,21,2.439
2015,CWS,413890,23,-2.929
2015,LAD,413879,28,-1.837
2015,AZ,413805,30,-2.081
2015,MIL,413719,15,2.254
2015,BOS,413711,21,0.0
2015,AZ,414038,24,1.278
2015,COL,414038,28,-0.397
2015,TEX,414052,21,1.01
2015,HOU,414052,24,-0.246
2015,BOS,414051,28,0.539
2015,TB,414051,23,0.56
2015,LAA,414050,30,0.803
2015,SEA,414050,27,2.56
2015,SD,414049,28,0.866
2015,SF,414049,23,2.599
2015,ATL,414048,22,1.832
2015,ATH,414047,23,-0.077
2015,TOR,414046,32,-0.461
2015,NYY,414046,28,1.439
2015,MIA,414045,21,2.28
2015,MIL,414044,27,2.157
2015,DET,414043,24,0.717
2015,CWS,414043,27,0.89
2015,KC,414042,23,2.273
2015,PIT,414041,31,-0.694
2015,STL,414040,26,1.695
2015,CHC,414040,32,-0.732
2015,NYM,414039,24,1.33
2015,BAL,414039,24,2.476
2015,HOU,414037,23,-0.232
2015,TEX,414037,21,2.559
2015,BOS,414036,30,-0.843
2015,SEA,414035,24,-0.001
2015,SF,414034,23,0.04
2015,SD,414034,25,0.375
2015,PHI,414033,29,1.237
2015,ATL,414033,33,0.064
2015,ATH,414032,28,-3.979
2015,MIN,414032,35,2.008
2015,TOR,414031,28,6.378
2015,NYY,414031,27,-0.861
2015,WSH,414030,27,1.243
2015,MIA,414030,30,-0.629
2015,NYM,414026,24,3.179
2015,WSH,414026,26,1.735
2015,CLE,414025,29,1.116
2015,TOR,414025,30,-2.739
2015,TB,414024,25,0.691
2015,BAL,414024,25,-2.932
2015,HOU,414023,27,-0.544
2015,SEA,414023,21,0.11
2015,PIT,414022,38,1.014
2015,STL,414022,44,2.986
2015,PHI,414021,22,-0.978
2015,NYY,414019,27,0.742
2015,MIL,414018,26,-0.026
2015,CHC,414018,27,-0.349
2015,DET,414017,28,3.62
2015,KC,414017,30,0.731
2015,SD,414016,25,-1.416
2015,COL,414016,27,1.829
2015,CIN,414015,30,2.035
2015,ATL,414015,19,0.92
2015,MIN,414014,28,1.485
2015,LAD,414013,30,-1.211
2015,AZ,414013,26,2.543
2015,LAA,414012,29,-0.325
2015,WSH,414011,21,1.53
2015,NYM,414011,29,3.786
2015,TOR,414010,28,-0.061
2015,CLE,414010,35,0.09
2015,TB,414009,24,2.958
2015,HOU,414008,26,1.67
2015,SEA,414008,34,-5.582
2015,PIT,414007,28,0.307
2015,STL,414007,39,1.059
2015,MIA,414006,25,0.722
2015,PHI,414006,28,-0.84
2015,TEX,414005,36,3.009
2015,ATH,414005,32,-0.733
2015,NYY,414004,27,0.365
2015,BOS,414004,31,-0.152
2015,MIL,414003,14,0.775
2015,DET,414002,28,2.616
2015,KC,414002,29,2.813
2015,ATL,414000,35,-2.105
2015,CIN,414000,23,0.796
2015,MIN,413999,27,1.296
2015,CWS,413999,30,0.16
2015,AZ,413998,26,1.135
2015,SF,413997,27,1.975
2015,LAA,413997,27,-0.526
2015,WSH,413996,19,-0.607
2015,TOR,413995,33,3.725
2015,CLE,413995,24,1.623
2015,TB,413994,18,1.027
2015,BAL,413994,21,2.157
2015,SEA,413993,21,-2.026
2015,STL,413992,24,-0.848
2015,PHI,413991,32,-1.563
2015,TEX,413990,25,0.979
2015,ATH,413990,28,2.099
2015,NYY,413989,28,-0.257
2015,BOS,413989,31,0.917
2015,CHC,413988,23,2.98
2015,KC,413987,19,2.862
2015,DET,413987,31,-0.322
2015,SD,413986,23,2.967
2015,COL,413986,36,-3.525
2015,ATL,413985,28,3.85
2015,CIN,413985,22,2.898
2015,CWS,413984,22,-0.843
2015,MIN,413984,28,0.627
2015,AZ,413983,18,-0.118
2015,LAA,413982,27,2.527
2015,WSH,414409,31,-0.324
2015,CIN,414409,20,4.398
2015,TOR,414408,27,-0.211
2015,MIN,414408,31,-2.916
2015,TB,414407,30,-0.841
2015,BAL,414407,26,-5.2
2015,PIT,414406,31,-1.925
2015,SD,414406,29,2.162
2015,ATH,414405,26,1.975
2015,NYY,414405,26,-0.955
2015,NYM,414404,31,1.791
2015,STL,414403,17,4.269
2015,CHC,414402,26,3.422
2015,KC,414402,26,1.56
2015,DET,414401,27,-0.674
2015,LAA,414401,24,1.696
2015,COL,414400,26,1.128
2015,PHI,414400,25,0.476
2015,SEA,414399,45,-1.291
2015,CWS,414398,26,-0.399
2015,HOU,414398,35,-1.896
2015,TEX,414397,32,-1.566
2015,ATL,414396,31,2.1
2015,SF,414396,31,0.225
2015,MIL,414395,51,2.675
2015,AZ,414395,52,-0.424
2015,WSH,414394,24,-1.539
2015,CIN,414394,25,1.451
2015,TOR,414393,24,0.003
2015,MIN,414393,27,-0.308
2015,TB,414392,21,3.504
2015,SD,414391,29,-3.421
2015,PIT,414391,25,3.225
2015,NYY,414390,28,-3.5
2015,ATH,414390,31,-0.241
2015,NYM,414389,32,-3.209
2015,MIA,414389,30,1.281
2015,LAD,414388,22,-1.043
2015,LAA,414386,34,0.022
2015,DET,414386,27,0.366
2015,COL,414385,30,1.711
2015,CLE,414384,27,0.007
2015,SEA,414384,26,2.298
2015,CWS,414383,20,-1.616
2015,HOU,414383,20,-0.301
2015,BOS,414382,32,-1.33
2015,TEX,414382,26,1.743
2015,ATL,414381,29,-0.295
2015,SF,414381,30,-2.468
2015,AZ,414380,30,2.414
2015,MIL,414380,35,-1.178
2015,WSH,414379,32,0.887
2015,CIN,414379,29,-0.315
2015,TOR,414378,29,0.382
2015,MIN,414378,28,-0.215
2015,TB,414377,22,1.722
2015,PIT,414376,21,2.09
2015,NYY,414375,27,-3.178
2015,ATH,414375,26,0.816
2015,MIA,414374,25,1.63
2015,NYM,414374,21,0.208
2015,LAD,414373,29,-0.847
2015,STL,414373,21,0.136
2015,CHC,414372,29,-0.602
2015,KC,414372,20,0.055
2015,DET,414371,21,-0.738
2015,COL,414370,24,1.862
2015,SEA,414369,20,2.626
2015,HOU,414368,29,-0.214
2015,TEX,414367,24,1.734
2015,BOS,414367,28,-1.879
2015,MIL,414365,26,-1.935
2015,AZ,414365,32,1.099
2015,PIT,414364,28,-0.247
2015,SD,414364,31,-1.377
2015,ATH,414363,29,1.624
2015,NYY,414363,28,-0.536
2015,DET,414362,33,-1.762
2015,LAA,414362,20,3.261
2015,SEA,414361,33,0.04
2015,BOS,414360,23,3.321
2015,TEX,414360,29,-1.326
2015,ATL,414359,33,0.307
2015,SF,414359,22,2.031
2015,BAL,413945,28,0.507
2015,CWS,413945,30,-3.623
2015,BAL,413930,32,0.57
2015,CWS,413930,17,1.062
2015,TEX,414357,35,-0.048
2015,SF,414356,22,0.298
2015,SD,414354,28,-0.022
2015,LAA,414354,25,-0.155
2015,NYM,414353,25,0.161
2015,PHI,414353,31,2.105
