team_id,season,blup,pipeline
AZ,2015,0.21628,v2_final_strip_park_speed
AZ,2016,-0.02413,v2_final_strip_park_speed
AZ,2017,0.04729,v2_final_strip_park_speed
AZ,2018,0.16989,v2_final_strip_park_speed
AZ,2019,0.24691,v2_final_strip_park_speed
AZ,2020,0.04404,v2_final_strip_park_speed
AZ,2021,-0.09737,v2_final_strip_park_speed
AZ,2022,0.15393,v2_final_strip_park_speed
AZ,2023,0.05456,v2_final_strip_park_speed
AZ,2024,0.01496,v2_final_strip_park_speed
AZ,2025,0.03176,v2_final_strip_park_speed
BAL,2015,0.06635,v2_final_strip_park_speed
BAL,2016,0.0116,v2_final_strip_park_speed
BAL,2017,-0.1161,v2_final_strip_park_speed
BAL,2018,-0.19681,v2_final_strip_park_speed
BAL,2019,0.0119,v2_final_strip_park_speed
BAL,2020,0.05323,v2_final_strip_park_speed
BAL,2021,0.00334,v2_final_strip_park_speed
BAL,2022,-0.02641,v2_final_strip_park_speed
BAL,2023,0.11452,v2_final_strip_park_speed
BAL,2024,0.06215,v2_final_strip_park_speed
BAL,2025,-0.18791,v2_final_strip_park_speed
BOS,2015,-0.04237,v2_final_strip_park_speed
BOS,2016,0.07199,v2_final_strip_park_speed
BOS,2017,-0.02155,v2_final_strip_park_speed
BOS,2018,0.17264,v2_final_strip_park_speed
BOS,2019,-0.11229,v2_final_strip_park_speed
BOS,2020,-0.09418,v2_final_strip_park_speed
BOS,2021,-0.11299,v2_final_strip_park_speed
BOS,2022,-0.00401,v2_final_strip_park_speed
BOS,2023,-0.06486,v2_final_strip_park_speed
BOS,2024,0.06405,v2_final_strip_park_speed
BOS,2025,0.09061,v2_final_strip_park_speed
CHC,2015,0.04484,v2_final_strip_park_speed
CHC,2016,0.32196,v2_final_strip_park_speed
CHC,2017,0.11459,v2_final_strip_park_speed
CHC,2018,0.20571,v2_final_strip_park_speed
CHC,2019,-0.02594,v2_final_strip_park_speed
CHC,2020,0.07943,v2_final_strip_park_speed
CHC,2021,-0.07139,v2_final_strip_park_speed
CHC,2022,0.01055,v2_final_strip_park_speed
CHC,2023,0.09994,v2_final_strip_park_speed
CHC,2024,-0.0505,v2_final_strip_park_speed
CHC,2025,0.13483,v2_final_strip_park_speed
CIN,2015,0.21246,v2_final_strip_park_speed
CIN,2016,0.1344,v2_final_strip_park_speed
CIN,2017,-0.049,v2_final_strip_park_speed
CIN,2018,0.01165,v2_final_strip_park_speed
CIN,2019,0.03432,v2_final_strip_park_speed
CIN,2020,-0.16455,v2_final_strip_park_speed
CIN,2021,-0.19895,v2_final_strip_park_speed
CIN,2022,-0.14598,v2_final_strip_park_speed
CIN,2023,-0.09969,v2_final_strip_park_speed
CIN,2024,-0.0536,v2_final_strip_park_speed
CIN,2025,0.10818,v2_final_strip_park_speed
CLE,2015,-0.02898,v2_final_strip_park_speed
CLE,2016,0.03019,v2_final_strip_park_speed
CLE,2017,0.00602,v2_final_strip_park_speed
CLE,2018,-0.12252,v2_final_strip_park_speed
CLE,2019,-0.04106,v2_final_strip_park_speed
CLE,2020,-0.0673,v2_final_strip_park_speed
CLE,2021,0.0284,v2_final_strip_park_speed
CLE,2022,0.15849,v2_final_strip_park_speed
CLE,2023,0.08355,v2_final_strip_park_speed
CLE,2024,0.06778,v2_final_strip_park_speed
CLE,2025,-0.06863,v2_final_strip_park_speed
COL,2015,0.00041,v2_final_strip_park_speed
COL,2016,0.1357,v2_final_strip_park_speed
COL,2017,0.07061,v2_final_strip_park_speed
COL,2018,0.00744,v2_final_strip_park_speed
COL,2019,0.13511,v2_final_strip_park_speed
COL,2020,0.06711,v2_final_strip_park_speed
COL,2021,0.01915,v2_final_strip_park_speed
COL,2022,0.10686,v2_final_strip_park_speed
